datetime,open,high,low,close,volume
2025-11-17 10:09:00,671,671,670.46997,670.875,248925
2025-11-17 10:08:00,671.53998,671.57001,670.84003,670.98999,275713
2025-11-17 10:07:00,672.14001,672.14001,671.38501,671.53003,177829
2025-11-17 10:06:00,671.98999,672.25,671.91998,672.12000,179073
2025-11-17 10:05:00,671.54999,672.15002,671.40002,672,249821
2025-11-17 10:04:00,671.97998,672,671.39001,671.56000,281885
2025-11-17 10:03:00,672.65002,672.87000,671.91998,672.010010,247342
2025-11-17 10:02:00,672.90002,673.049988,672.54999,672.65088,104439
2025-11-17 10:01:00,673.010010,673.099976,672.66998,672.90002,115087
2025-11-17 10:00:00,672.76001,673.15002,672.70001,673.010010,180581
2025-11-17 09:59:00,672.87000,672.94000,672.57001,672.76001,178724
2025-11-17 09:58:00,672.84998,673.070007,672.65002,672.84998,148652
2025-11-17 09:57:00,673.19501,673.32001,672.65997,672.84003,208662
2025-11-17 09:56:00,673.47998,673.58002,672.98999,673.20001,211773
2025-11-17 09:55:00,673.5,673.71002,673.40503,673.47998,179765
2025-11-17 09:54:00,673.41998,673.65002,673.39001,673.5,137765
2025-11-17 09:53:00,673.42999,673.47992,673.070007,673.44000,186187
2025-11-17 09:52:00,673.54999,673.66998,673.21997,673.43500,238423
2025-11-17 09:51:00,673.13000,673.57001,673.039978,673.54999,267245
2025-11-17 09:50:00,672.79999,673.21002,672.79999,673.14502,204084
2025-11-17 09:49:00,672.66998,673.030029,672.65997,672.78003,155490
2025-11-17 09:48:00,673.070007,673.085022,672.60999,672.66998,228373
2025-11-17 09:47:00,672.71002,673.13000,672.67999,673.070007,221390
2025-11-17 09:46:00,672.41998,672.76001,672.33002,672.71997,168712
2025-11-17 09:45:00,671.98999,672.46002,671.84003,672.42499,248254
2025-11-17 09:44:00,672.59003,672.59003,671.84998,671.98499,156585
2025-11-17 09:43:00,672.049988,672.66998,672.015015,672.57013,220792
2025-11-17 09:42:00,672.16998,672.20001,671.66998,672.064209,324777
2025-11-17 09:41:00,672.40002,672.54999,671.97998,672.17072,236673
2025-11-17 09:40:00,672.60999,672.66998,672.25,672.39001,275601
2025-11-17 09:39:00,672.41998,672.64502,672.34998,672.62000,206166
2025-11-17 09:38:00,672.38000,672.49500,672.020020,672.39001,322567
2025-11-17 09:37:00,671.79999,672.58002,671.79999,672.38000,299620
2025-11-17 09:36:00,671.56000,671.83002,671.48999,671.81000,299293
2025-11-17 09:35:00,671.14001,671.54999,671.080017,671.54498,347926
2025-11-17 09:34:00,670.28003,671.14001,670.26001,671.14001,331829
2025-11-17 09:33:00,670.27502,670.51001,670.16498,670.27002,363660
2025-11-17 09:32:00,669.39502,670.40002,669.31000,670.27002,507316
2025-11-17 09:31:00,669.12000,669.46997,668.95001,669.45551,371163
2025-11-17 09:30:00,669,669.11499,668.97998,669.11499,2399496
2025-11-14 15:59:00,671.29999,671.96002,671.16998,671.95001,1667719
2025-11-14 15:58:00,671.40997,671.45001,671.23499,671.28497,858583
2025-11-14 15:57:00,671.51001,671.56000,671.33502,671.41998,876771
2025-11-14 15:56:00,671.77002,671.78998,671.49982,671.5,450562
2025-11-14 15:55:00,671.66998,671.95001,671.56000,671.78003,492857
2025-11-14 15:54:00,672.039978,672.15997,671.65997,671.65997,293266
2025-11-14 15:53:00,671.54999,672.12000,671.52002,672.044983,231195
2025-11-14 15:52:00,672.030029,672.030029,671.55499,671.55499,224945
2025-11-14 15:51:00,671.81000,672.14001,671.32001,672.034973,350985
2025-11-14 15:50:00,671.20001,671.94000,671.20001,671.82001,596257
2025-11-14 15:49:00,671.59003,671.60999,671.20001,671.21997,489868
2025-11-14 15:48:00,671.91998,672.12000,671.57001,671.58002,344985
2025-11-14 15:47:00,672.21997,672.29999,671.84998,671.90002,375479
2025-11-14 15:46:00,672.41998,672.41998,672.15997,672.21997,235439
2025-11-14 15:45:00,672.059998,672.48999,671.97998,672.41992,271407
2025-11-14 15:44:00,672.15997,672.28003,672.020020,672.070007,217992
2025-11-14 15:43:00,672.15997,672.25,671.96002,672.15002,343141
2025-11-14 15:42:00,671.96002,672.21997,671.91498,672.15002,207405
2025-11-14 15:41:00,672.12000,672.32001,671.94501,671.96002,212464
2025-11-14 15:40:00,672.58002,672.59003,672.039978,672.12000,160263
2025-11-14 15:39:00,672.34998,672.79999,672.34998,672.59003,217615
2025-11-14 15:38:00,672.5,672.70001,672.31000,672.35999,195089
2025-11-14 15:37:00,672.66998,672.70001,672.38000,672.52002,248714
2025-11-14 15:36:00,672.98999,673.054993,672.67999,672.67999,144057
2025-11-14 15:35:00,672.84998,673.10999,672.78998,673,114679
2025-11-14 15:34:00,672.97998,673.059998,672.72498,672.84003,134721
2025-11-14 15:33:00,672.87000,672.98999,672.58002,672.97998,168078
2025-11-14 15:32:00,672.42999,672.88000,672.34082,672.88000,133022
2025-11-14 15:31:00,672.42999,672.42999,672.29498,672.41998,152490
2025-11-14 15:30:00,672.64001,672.64001,672.26001,672.42999,165706
2025-11-14 15:29:00,672.59003,672.78003,672.5,672.64502,131227
2025-11-14 15:28:00,672.48999,672.72498,672.46002,672.62000,91110
2025-11-14 15:27:00,672.69000,672.69000,672.32440,672.48999,129524
2025-11-14 15:26:00,672.75,672.91498,672.54688,672.67999,303763
2025-11-14 15:25:00,672.64001,672.78998,672.42999,672.75989,138623
2025-11-14 15:24:00,672.59003,672.77002,672.47998,672.65002,351235
2025-11-14 15:23:00,672.36499,672.78003,672.21002,672.57501,225902
2025-11-14 15:22:00,672.51001,672.57001,672.25,672.40002,201442
2025-11-14 15:21:00,673.039978,673.15002,672.44000,672.48999,232659
2025-11-14 15:20:00,673.010010,673.13000,672.89502,673.070007,199428
2025-11-14 15:19:00,673.020020,673.14001,672.95001,673,140654
2025-11-14 15:18:00,673.44318,673.46002,672.87097,673.030029,199796
2025-11-14 15:17:00,673.71002,673.73999,673.41998,673.44000,70505
2025-11-14 15:16:00,673.53003,673.71002,673.38000,673.70001,150970
2025-11-14 15:15:00,673.71002,673.87000,673.44012,673.53003,216259
2025-11-14 15:14:00,673.76001,673.77002,673.59998,673.70001,78912
2025-11-14 15:13:00,673.90002,673.90002,673.625,673.77002,159250
2025-11-14 15:12:00,673.79999,674.039978,673.59998,673.91998,118176
2025-11-14 15:11:00,674.21997,674.21997,673.77002,673.77502,75172
2025-11-14 15:10:00,673.98999,674.39917,673.92999,674.21997,164734
2025-11-14 15:09:00,673.94000,674.039978,673.73999,673.96997,268236
2025-11-14 15:08:00,674.090027,674.16998,673.89398,673.94928,201301
2025-11-14 15:07:00,674.37000,674.48999,674.090027,674.090210,155845
2025-11-14 15:06:00,674.73999,674.75500,674.33002,674.39001,170293
2025-11-14 15:05:00,674.81000,674.87000,674.54999,674.73480,182880
2025-11-14 15:04:00,674.78003,674.94000,674.66998,674.81500,157844
2025-11-14 15:03:00,675.020020,675.025024,674.71002,674.78003,126740
2025-11-14 15:02:00,674.83002,675.12000,674.78003,675.028015,181720
2025-11-14 15:01:00,674.59998,674.87000,674.46997,674.83002,142394
2025-11-14 15:00:00,674.64001,674.77002,674.53003,674.59998,126797
2025-11-14 14:59:00,674.44000,674.79999,674.37000,674.65002,212590
2025-11-14 14:58:00,674.67999,674.69501,674.41998,674.44000,82876
2025-11-14 14:57:00,674.40002,674.71002,674.33002,674.70001,103404
2025-11-14 14:56:00,674.28003,674.47998,674.21002,674.41998,135310
2025-11-14 14:55:00,674.48999,674.57001,674.16498,674.27002,102142
2025-11-14 14:54:00,674.59003,674.60999,674.41998,674.47498,97139
